"Year","Geo","State","Region","Commodity","Measure","Unit","type","Treatment","Name","ID","Value"
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FLUPYRADIFURONE","122304",600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",14000
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","INDOXACARB "," 67710",1400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",800
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","MALATHION "," 57701",5300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","METHOMYL "," 90301",600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","METHOXYFENOZIDE "," 121027",400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","NALED "," 34401",6000
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701",2600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","SPINETORAM","110007",900
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","SPIROTETRAMAT "," 392201",4200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","THIAMETHOXAM "," 60109",2000
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","TOTAL)",NA,69000
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064",800
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831",200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825",1700
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303",1300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",800
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301",600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","NALED "," 34401",6000
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701",2600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064",800
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",0.098
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",0.045
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",0.047
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","INDOXACARB "," 67710",0.065
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",0.025
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPIROTETRAMAT "," 392201",0.072
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",0.413
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",0.065
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",0.375
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","INDOXACARB "," 67710",0.066
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",0.031
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPIROTETRAMAT "," 392201",0.078
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN "," 128810",0.153
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BOSCALID "," 128008",0.388
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CHLOROTHALONIL "," 81901",0.975
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","COPPER HYDROXIDE "," 23401",0.222
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FENAMIDONE "," 46679",0.221
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MANCOZEB "," 14504",1.572
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MANDIPROPAMIDE TECHN "," 36602",0.117
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD "," 90112",0.306
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PYRACLOSTROBIN "," 99100",0.187
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","SULFUR "," 77501",2.433
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","BENSULIDE "," 9801",2.896
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","CLETHODIM "," 121011",0.112
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","DCPA "," 78701",4.007
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","NAPROPAMIDE "," 103001",0.67
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",0.238
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","TRIFLURALIN "," 36101",0.336
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ACETAMIPRID "," 99050",0.063
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831",0.023
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825",0.087
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","BUPROFEZIN "," 275100",0.256
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",0.057
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CLOTHIANIDIN "," 44309",0.103
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CYANTRANILIPROLE","90098",0.16
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","DIMETHOATE "," 35001",0.486
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","DINOTEFURAN "," 44312",0.15
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","EMAMECTIN BENZOATE "," 122806",0.011
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303",0.045
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","FLUBENDIAMIDE "," 27602",0.05
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","FLUPYRADIFURONE","122304",0.165
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",0.239
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","INDOXACARB "," 67710",0.065
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",0.028
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","MALATHION "," 57701",1.242
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","METHOMYL "," 90301",0.82
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","METHOXYFENOZIDE "," 121027",0.096
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","NALED "," 34401",0.935
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701",0.182
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPINETORAM","110007",0.045
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPIROTETRAMAT "," 392201",0.076
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","THIAMETHOXAM "," 60109",0.107
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064",0.048
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831",0.023
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825",0.087
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","EMAMECTIN BENZOATE "," 122806",0.011
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303",0.045
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",0.047
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",0.028
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301",0.82
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","NALED "," 34401",0.935
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701",0.182
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","THIAMETHOXAM","60109",0.041
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064",0.048
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",18
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",3
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",16
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","INDOXACARB "," 67710",1
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",2
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPIROTETRAMAT "," 392201",1
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",0.241
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",0.059
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",0.285
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","INDOXACARB "," 67710",0.066
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897",0.028
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","SPIROTETRAMAT "," 392201",0.078
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",0.098
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",0.045
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099",0.047
